Participant-ID,Type,First-Name,Last-Name,Email,Perc_Effort,Attendance,Perc_Academic,CompleteYears,House
37895,Participant,Rhett,Barton,Rhett.Barton@school.edu,93,89.0,92,9,Vanguard
37997,Participant,Beckett,Powell,Beckett.Powell@school.edu,82,89.0,93,4,Vanguard
37901,Participant,Rory,Briggs,Rory.Briggs@school.edu,7,80.0,35,9,Griffin
37971,Participant,Abel,Mendoza,Abel.Mendoza@school.edu,81,96.0,71,1,Phoenix
37943,Participant,Josiah,Perez,Josiah.Perez@school.edu,26,92.0,53,2,Falcon
37894,Participant,King,Ingram,King.Ingram@school.edu,52,85.0,24,2,Vanguard
38010,Participant,Wyatt,Green,Wyatt.Green@school.edu,42,84.0,57,6,Redwood
37921,Participant,Ricardo,Owens,Ricardo.Owens@school.edu,62,91.0,43,3,Falcon
37902,Participant,Derek,Barnes,Derek.Barnes@school.edu,69,92.0,53,9,Phoenix
37886,Participant,Xavier,Bryant,Xavier.Bryant@school.edu,51,79.0,53,9,Vanguard
37952,Participant,Lincoln,Peterson,Lincoln.Peterson@school.edu,47,77.0,32,0,Phoenix
37942,Participant,Nathan,Allen,Nathan.Allen@school.edu,51,92.0,53,3,Astral
37998,Participant,Jordan,Reed,Jordan.Reed@school.edu,43,75.0,27,10,Phoenix
37903,Participant,Elijah,Moore,Elijah.Moore@school.edu,7,77.0,6,2,Griffin
37928,Participant,Finn,Perry,Finn.Perry@school.edu,76,96.0,48,1,Phoenix
37853,Participant,Declan,Patterson,Declan.Patterson@school.edu,84,85.0,52,2,Astral
37988,Participant,Connor,Young,Connor.Young@school.edu,67,75.0,34,0,Astral
37898,Participant,Joseph,Thompson,Joseph.Thompson@school.edu,64,84.0,34,1,Vanguard
38007,Participant,Jackson,Rodriguez,Jackson.Rodriguez@school.edu,52,85.0,23,0,Vanguard
37968,Participant,Emmanuel,Ford,Emmanuel.Ford@school.edu,86,85.0,66,0,Falcon
38013,Participant,Peter,Alexander,Peter.Alexander@school.edu,55,81.0,56,3,Redwood
38006,Participant,Samuel,Harris,Samuel.Harris@school.edu,99,94.0,95,0,Phoenix
37858,Participant,Roman,Simmons,Roman.Simmons@school.edu,16,83.0,16,0,Falcon
37962,Participant,Aaron,Edwards,Aaron.Edwards@school.edu,85,95.0,67,0,Falcon
37875,Participant,Leon,Kirk,Leon.Kirk@school.edu,48,85.0,32,0,Griffin
37936,Participant,Adam,Rivera,Adam.Rivera@school.edu,84,78.0,81,2,Falcon
37935,Participant,Walter,Kim,Walter.Kim@school.edu,2,96.0,10,0,Phoenix
37932,Participant,Cameron,Cox,Cameron.Cox@school.edu,3,92.0,5,1,Falcon
37951,Participant,Luke,Phillips,Luke.Phillips@school.edu,55,85.0,54,7,Vanguard
37871,Participant,Nikolai,Weeks,Nikolai.Weeks@school.edu,25,89.0,22,9,Falcon
37917,Participant,Zander,Buchanan,Zander.Buchanan@school.edu,34,84.0,43,9,Astral
37991,Participant,Liam,Smith,Liam.Smith@school.edu,31,84.0,37,9,Redwood
37984,Participant,Bruce,Malone,Bruce.Malone@school.edu,76,80.0,26,0,Griffin
37989,Participant,Caleb,Turner,Caleb.Turner@school.edu,91,89.0,90,1,Redwood
37857,Participant,Damon,Banks,Damon.Banks@school.edu,32,86.0,63,9,Astral
37867,Participant,Winston,Bruce,Winston.Bruce@school.edu,38,76.0,64,4,Vanguard
37933,Participant,Chance,Wallace,Chance.Wallace@school.edu,39,91.0,68,9,Astral
37920,Participant,Noah,Johnson,Noah.Johnson@school.edu,93,86.0,71,0,Falcon
37956,Participant,Simon,Cline,Simon.Cline@school.edu,6,76.0,6,0,Griffin
37916,Participant,Jeremiah,Myers,Jeremiah.Myers@school.edu,25,90.0,38,0,Astral
37862,Participant,Greyson,Ross,Greyson.Ross@school.edu,18,82.0,20,0,Astral
37974,Participant,Tobias,Tanner,Tobias.Tanner@school.edu,86,85.0,81,1,Falcon
37859,Participant,Isaac,Walker,Isaac.Walker@school.edu,75,88.0,49,0,Vanguard
37961,Participant,Tucker,Campos,Tucker.Campos@school.edu,30,90.0,14,9,Phoenix
